ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
gln-L,,gln-L,gln-L.gln-L_1.Heavy,58.28284572,,150,Unit,132,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
gln-L,,gln-L,gln-L.gln-L_1.Light,58.13317194,,145.001,Unit,127,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
gln-L,,gln-L,gln-L.gln-L_2.Light,58.13317194,,145.001,Unit,101,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
Hexose_Pool_fru_glc-D,,Hexose_Pool_fru_glc-D,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Heavy,58.84686762,,185,Unit,61,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
Hexose_Pool_fru_glc-D,,Hexose_Pool_fru_glc-D,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Light,53.80504752,,179,Unit,59,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
Hexose_Pool_fru_glc-D,,Hexose_Pool_fru_glc-D,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_2.Light,53.80504752,,179,Unit,89,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
Lcystin,,Lcystin,Lcystin.Lcystin_1.Heavy,58.89203388,,245,Unit,123,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
Lcystin,,Lcystin,Lcystin.Lcystin_1.Light,60.5562828,,239,Unit,120,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_1.Heavy,59.70143502,,122,Unit,76,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
thr-L,,thr-L,thr-L.thr-L_1.Light,59.69146086,,118,Unit,74,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ala-L,,ala-L,ala-L.ala-L_1.Heavy,58.65842172,,91,Unit,46,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ala-L,,ala-L,ala-L.ala-L_1.Light,58.46302476,,88,Unit,45,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ala-L,,ala-L,ala-L.ala-L_2.Light,58.46302476,,88,Unit,42,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
his-L,,his-L,his-L.his-L_1.Heavy,56.4639018,,160,Unit,143,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
his-L,,his-L,his-L.his-L_1.Light,56.4639018,,154,Unit,137,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
his-L,,his-L,his-L.his-L_2.Light,56.4639018,,154,Unit,93,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
cytd,,cytd,cytd.cytd_1.Heavy,68.25161592,,251,Unit,113,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
cytd,,cytd,cytd.cytd_1.Light,68.25161592,,241.977,Unit,109,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
