File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/151.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	50 ug/ml ISO
Injection Number	89
Position	RC8
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	7:30:13 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.190596
Signal Max.	37.073029
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
1.503333	0.200	-1.119069
1.506667	0.200	-1.114994
1.510000	0.200	-1.110788
1.513333	0.200	-1.106607
1.516667	0.200	-1.102542
1.520000	0.200	-1.098655
1.523333	0.200	-1.095102
1.526667	0.200	-1.092058
1.530000	0.200	-1.089573
1.533333	0.200	-1.087564
1.536667	0.200	-1.085943
1.540000	0.200	-1.084876
1.543333	0.200	-1.084786
1.546667	0.200	-1.085912
1.550000	0.200	-1.088131
1.553333	0.200	-1.091130
1.556667	0.200	-1.094517
1.560000	0.200	-1.097865
1.563333	0.200	-1.100910
1.566667	0.200	-1.103903
1.570000	0.200	-1.107447
1.573333	0.200	-1.111913
1.576667	0.200	-1.117111
1.580000	0.200	-1.122168
1.583333	0.200	-1.125944
1.586667	0.200	-1.127980
1.590000	0.200	-1.129100
1.593333	0.200	-1.130919
1.596667	0.200	-1.134264
1.600000	0.200	-1.138319
1.603333	0.200	-1.141914
1.606667	0.200	-1.144808
1.610000	0.200	-1.147267
1.613333	0.200	-1.149465
1.616667	0.200	-1.151540
1.620000	0.200	-1.153455
1.623333	0.200	-1.154967
1.626667	0.200	-1.155890
1.630000	0.200	-1.156026
1.633333	0.200	-1.155170
1.636667	0.200	-1.153664
1.640000	0.200	-1.152298
1.643333	0.200	-1.151493
1.646667	0.200	-1.151211
1.650000	0.200	-1.151270
1.653333	0.200	-1.151165
1.656667	0.200	-1.150375
1.660000	0.200	-1.149046
1.663333	0.200	-1.147744
1.666667	0.200	-1.146685
1.670000	0.200	-1.145687
1.673333	0.200	-1.144780
1.676667	0.200	-1.144354
1.680000	0.200	-1.144616
1.683333	0.200	-1.145282
1.686667	0.200	-1.145943
1.690000	0.200	-1.146509
1.693333	0.200	-1.147186
1.696667	0.200	-1.148290
1.700000	0.200	-1.150137
1.703333	0.200	-1.152549
1.706667	0.200	-1.154546
1.710000	0.200	-1.155141
1.713333	0.200	-1.154283
1.716667	0.200	-1.152824
1.720000	0.200	-1.151832
1.723333	0.200	-1.151911
1.726667	0.200	-1.152843
1.730000	0.200	-1.153893
1.733333	0.200	-1.154383
1.736667	0.200	-1.153859
1.740000	0.200	-1.152112
1.743333	0.200	-1.149376
1.746667	0.200	-1.146126
1.750000	0.200	-1.142474
1.753333	0.200	-1.137404
1.756667	0.200	-1.126848
1.760000	0.200	-1.098790
1.763333	0.200	-1.024781
1.766667	0.200	-0.850294
1.770000	0.200	-0.491699
1.773333	0.200	0.148378
1.776667	0.200	1.143860
1.780000	0.200	2.501842
1.783333	0.200	4.139018
1.786667	0.200	5.894397
1.790000	0.200	7.573401
1.793333	0.200	9.001447
1.796667	0.200	10.063917
1.800000	0.200	10.720671
1.803333	0.200	10.996607
1.806667	0.200	10.958470
1.810000	0.200	10.689358
1.813333	0.200	10.268636
1.816667	0.200	9.760272
1.820000	0.200	9.208968
1.823333	0.200	8.641971
1.826667	0.200	8.074049
1.830000	0.200	7.512799
1.833333	0.200	6.962292
1.836667	0.200	6.424848
1.840000	0.200	5.901987
1.843333	0.200	5.395230
1.846667	0.200	4.906205
1.850000	0.200	4.436061
1.853333	0.200	3.985513
1.856667	0.200	3.555309
1.860000	0.200	3.146098
1.863333	0.200	2.758055
1.866667	0.200	2.391050
1.870000	0.200	2.045153
1.873333	0.200	1.720623
1.876667	0.200	1.417490
1.880000	0.200	1.135399
1.883333	0.200	0.873659
1.886667	0.200	0.631442
1.890000	0.200	0.408148
1.893333	0.200	0.203618
1.896667	0.200	0.017948
1.900000	0.200	-0.148979
1.903333	0.200	-0.297850
1.906667	0.200	-0.429842
1.910000	0.200	-0.546207
1.913333	0.200	-0.647986
1.916667	0.200	-0.735877
1.920000	0.200	-0.810325
1.923333	0.200	-0.872083
1.926667	0.200	-0.922767
1.930000	0.200	-0.964584
1.933333	0.200	-0.999587
1.936667	0.200	-1.029245
1.940000	0.200	-1.054262
1.943333	0.200	-1.074719
1.946667	0.200	-1.090602
1.950000	0.200	-1.101710
1.953333	0.200	-1.107072
1.956667	0.200	-1.104831
1.960000	0.200	-1.091808
1.963333	0.200	-1.062463
1.966667	0.200	-1.008248
1.970000	0.200	-0.917228
1.973333	0.200	-0.773375
1.976667	0.200	-0.556334
1.980000	0.200	-0.242645
1.983333	0.200	0.192242
1.986667	0.200	0.771885
1.990000	0.200	1.515625
1.993333	0.200	2.433360
1.996667	0.200	3.520024
2.000000	0.200	4.751990
2.003333	0.200	6.085801
2.006667	0.200	7.459176
2.010000	0.200	8.795001
2.013333	0.200	10.008655
2.016667	0.200	11.017342
2.020000	0.200	11.749639
2.023333	0.200	12.154461
2.026667	0.200	12.207988
2.030000	0.200	11.916264
2.033333	0.200	11.313016
2.036667	0.200	10.453689
2.040000	0.200	9.407437
2.043333	0.200	8.248900
2.046667	0.200	7.050396
2.050000	0.200	5.875133
2.053333	0.200	4.772429
2.056667	0.200	3.775372
2.060000	0.200	2.901125
2.063333	0.200	2.153700
2.066667	0.200	1.528018
2.070000	0.200	1.013413
2.073333	0.200	0.595632
2.076667	0.200	0.258530
2.080000	0.200	-0.013375
2.083333	0.200	-0.232988
2.086667	0.200	-0.410955
2.090000	0.200	-0.556425
2.093333	0.200	-0.676199
2.096667	0.200	-0.774129
2.100000	0.200	-0.852643
2.103333	0.200	-0.914684
2.106667	0.200	-0.964054
2.110000	0.200	-1.004500
2.113333	0.200	-1.038802
2.116667	0.200	-1.068636
2.120000	0.200	-1.095036
2.123333	0.200	-1.118416
2.126667	0.200	-1.138145
2.130000	0.200	-1.153058
2.133333	0.200	-1.162734
2.136667	0.200	-1.167905
2.140000	0.200	-1.170139
2.143333	0.200	-1.171456
2.146667	0.200	-1.173473
2.150000	0.200	-1.176608
2.153333	0.200	-1.180279
2.156667	0.200	-1.183577
2.160000	0.200	-1.185921
2.163333	0.200	-1.187512
2.166667	0.200	-1.188905
2.170000	0.200	-1.190078
2.173333	0.200	-1.190596
2.176667	0.200	-1.190410
2.180000	0.200	-1.189741
2.183333	0.200	-1.188584
2.186667	0.200	-1.186747
2.190000	0.200	-1.184096
2.193333	0.200	-1.180597
2.196667	0.200	-1.176006
2.200000	0.200	-1.169844
2.203333	0.200	-1.161964
2.206667	0.200	-1.152917
2.210000	0.200	-1.143711
2.213333	0.200	-1.135013
2.216667	0.200	-1.126613
2.220000	0.200	-1.117943
2.223333	0.200	-1.108810
2.226667	0.200	-1.099426
2.230000	0.200	-1.090079
2.233333	0.200	-1.080927
2.236667	0.200	-1.071867
2.240000	0.200	-1.062014
2.243333	0.200	-1.048779
2.246667	0.200	-1.027319
2.250000	0.200	-0.990758
2.253333	0.200	-0.932249
2.256667	0.200	-0.849766
2.260000	0.200	-0.751040
2.263333	0.200	-0.654478
2.266667	0.200	-0.584102
2.270000	0.200	-0.560228
2.273333	0.200	-0.590948
2.276667	0.200	-0.669362
2.280000	0.200	-0.777448
2.283333	0.200	-0.893326
2.286667	0.200	-0.998123
