ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
HMDB:HMDB0002362,,HMDB:HMDB0002362,,0,,118.0742276,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0059837,,HMDB:HMDB0059837,,0,,118.0782503,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0029579,,HMDB:HMDB0029579,,0,,118.0816211,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0059606,,HMDB:HMDB0059606,,0,,118.0868036,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0031327,,HMDB:HMDB0031327,,0,,118.0993797,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0034827,,HMDB:HMDB0034827,,0,,118.9096321,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0001147,,HMDB:HMDB0001147,,0,,119.0218577,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0062270,,HMDB:HMDB0062270,,0,,119.0371138,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000167,,HMDB:HMDB0000167,,0,,119.0582432,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0001417,,HMDB:HMDB0001417,,0,,119.925528,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
